index,T1_CPU,T1_Time,T2_CPU,T2_Time
0,83,1.8066327571868896,310,1.8309946060180664
1,74,1.8040335178375244,119,1.8238985538482666
2,111,1.8041200637817383,305,1.8241174221038818
3,291,1.806044340133667,584,1.8260085582733154
4,379,1.8084137439727783,485,1.8286702632904053
5,226,1.8050646781921387,235,1.8248724937438965
6,195,1.8084592819213867,320,1.8283815383911133
7,318,1.8087158203125,451,1.829901933670044
8,111,1.8043317794799805,209,1.8290162086486816
9,66,1.8052446842193604,216,1.8299968242645264
10,81,1.805830955505371,102,1.8258140087127686
11,17,1.796234130859375,250,1.8264398574829102
12,90,1.800544261932373,161,1.8205132484436035
13,12,1.7979388236999512,42,1.8179383277893066
14,79,1.8018519878387451,428,1.8216221332550049
15,71,1.7980237007141113,205,1.828066110610962
16,46,1.8016412258148193,273,1.830047845840454
17,57,1.7999238967895508,64,1.820758581161499
18,93,1.8033537864685059,222,1.828181266784668
19,350,1.8039324283599854,375,1.8283789157867432
20,43,1.8034648895263672,61,1.8243896961212158
21,232,1.808927297592163,414,1.82989501953125
22,177,1.805701732635498,208,1.8302991390228271
23,179,1.8095703125,346,1.8296668529510498
24,239,1.806349754333496,249,1.8319110870361328
25,118,1.804403305053711,203,1.8283398151397705
26,244,1.8091747760772705,414,1.8295960426330566
27,122,1.8060839176177979,241,1.8258841037750244
28,74,1.799769401550293,146,1.8197641372680664
29,124,1.8104743957519531,348,1.8304352760314941
30,107,1.8055415153503418,259,1.8255393505096436
31,250,1.8054187297821045,286,1.8296713829040527
32,209,1.807870864868164,357,1.8294241428375244
33,303,1.8011863231658936,486,1.8312585353851318
34,171,1.808115005493164,622,1.8279061317443848
35,35,1.7999670505523682,189,1.8199467658996582
36,23,1.8057022094726562,134,1.8308465480804443
37,81,1.8049280643463135,98,1.8257594108581543
38,147,1.8021650314331055,357,1.8221924304962158
39,76,1.7997195720672607,211,1.8196899890899658
40,178,1.8041820526123047,219,1.8292973041534424
41,253,1.8094892501831055,440,1.8337059020996094
42,219,1.8090336322784424,393,1.8297736644744873
43,55,1.7995431423187256,136,1.8242418766021729
44,97,1.805624008178711,169,1.825854778289795
45,39,1.7986431121826172,46,1.8186116218566895
46,166,1.803030014038086,239,1.8276071548461914
