,T1_CPU,T1_Time,T2_CPU,T2_Time
0,80,1.8057570457458496,333,1.8305320739746094
1,69,1.8048925399780273,104,1.825171947479248
2,153,1.8083341121673584,366,1.8296728134155273
3,19,1.8047680854797363,270,1.8284211158752441
4,329,1.8093042373657227,660,1.8292715549468994
5,435,1.809196949005127,543,1.8239679336547852
6,291,1.8066051006317139,299,1.8271784782409668
7,214,1.8085136413574219,344,1.8324460983276367
8,361,1.8090190887451172,541,1.829817295074463
9,153,1.8067989349365234,290,1.826765775680542
10,60,1.803741216659546,260,1.8287944793701172
11,117,1.8045551776885986,122,1.8228912353515625
12,40,1.8036630153656006,300,1.8234093189239502
13,88,1.8003323078155518,154,1.8248038291931152
14,5,1.792837381362915,21,1.8131530284881592
15,75,1.8041799068450928,474,1.8291130065917969
16,65,1.80562424659729,205,1.8295526504516602
17,35,1.8039073944091797,288,1.8284945487976074
18,49,1.799513578414917,77,1.8196101188659668
19,92,1.8065567016601562,227,1.8301889896392822
20,400,1.7978012561798096,450,1.8278560638427734
21,32,1.8013100624084473,34,1.8223381042480469
22,258,1.8090224266052246,457,1.8293750286102295
23,192,1.8044202327728271,249,1.8293533325195312
24,195,1.81014084815979,376,1.8309595584869385
25,267,1.8037269115447998,274,1.824286937713623
26,121,1.8048274517059326,203,1.8300564289093018
27,273,1.8111560344696045,457,1.830810308456421
28,126,1.8107542991638184,249,1.8316612243652344
29,109,1.8007862567901611,176,1.8207652568817139
30,169,1.8074254989624023,418,1.8285307884216309
31,108,1.8095126152038574,271,1.8302388191223145
32,281,1.804457664489746,304,1.8294003009796143
33,231,1.8092856407165527,389,1.8329102993011475
34,225,1.806962251663208,245,1.828409194946289
35,343,1.7995233535766602,542,1.8293957710266113
36,185,1.8079180717468262,707,1.828381061553955
37,63,1.8039441108703613,228,1.8284599781036377
38,48,1.804595708847046,201,1.8293917179107666
39,117,1.7950007915496826,157,1.824666976928711
40,156,1.807856798171997,428,1.8288333415985107
41,71,1.804452896118164,214,1.829293966293335
42,194,1.8050312995910645,263,1.828826904296875
43,284,1.8082554340362549,489,1.8299474716186523
44,243,1.800011396408081,432,1.829993724822998
45,86,1.7978076934814453,163,1.8175468444824219
46,97,1.804344892501831,203,1.829157829284668
47,67,1.80063796043396,77,1.8246190547943115
48,180,1.8039286136627197,248,1.8285069465637207
49,126,1.8039307594299316,319,1.8239269256591797
50,382,1.8053603172302246,431,1.829723834991455
51,34,1.8040461540222168,68,1.825516939163208
52,29,1.8057739734649658,246,1.8306670188903809
53,321,1.8028130531311035,356,1.8227999210357666
54,376,1.8060462474822998,396,1.8306879997253418
55,275,1.8059639930725098,295,1.8299057483673096
56,147,1.808525800704956,275,1.8335986137390137
57,14,1.8039941787719727,79,1.8250811100006104
58,161,1.8050105571746826,186,1.829641342163086
59,208,1.802717685699463,459,1.83259916305542
60,111,1.808562994003296,281,1.828681230545044
61,165,1.8092660903930664,316,1.8341209888458252
62,69,1.8048102855682373,263,1.8297545909881592
63,169,1.807781457901001,342,1.8320505619049072
64,72,1.8035120964050293,110,1.8241863250732422
65,228,1.8045566082000732,321,1.829148292541504
66,65,1.806962490081787,127,1.827580213546753
67,57,1.804917573928833,141,1.8257665634155273
68,33,1.8013205528259277,361,1.8216791152954102
69,222,1.808701753616333,326,1.8296475410461426
70,183,1.8059303760528564,227,1.8301846981048584
71,109,1.8096182346343994,386,1.829610824584961
72,81,1.8063266277313232,96,1.8264055252075195
73,249,1.798323631286621,291,1.828629732131958
74,20,1.8019185066223145,72,1.8258445262908936
75,28,1.8045740127563477,122,1.8248639106750488
76,336,1.8005032539367676,370,1.830514669418335
77,135,1.800450325012207,188,1.8203339576721191
78,124,1.805107831954956,155,1.8295226097106934
79,243,1.8098413944244385,367,1.83414888381958
80,337,1.805663824081421,412,1.8298678398132324
81,76,1.8042750358581543,147,1.8247594833374023
82,47,1.8056867122650146,126,1.8267951011657715
83,146,1.8090710639953613,284,1.8289501667022705
84,223,1.8039603233337402,293,1.8289260864257812
85,366,1.805539608001709,817,1.8294758796691895
86,48,1.806131362915039,504,1.8298804759979248
87,34,1.8068418502807617,327,1.830702781677246
88,205,1.8092420101165771,308,1.8308274745941162
89,341,1.8032329082489014,392,1.827355146408081
90,23,1.8042354583740234,79,1.8244893550872803
91,44,1.8063936233520508,356,1.8314337730407715
92,228,1.7968220710754395,316,1.829796552658081
93,89,1.803340196609497,318,1.8232643604278564
94,183,1.8061716556549072,263,1.8306093215942383
95,133,1.8092834949493408,307,1.8296196460723877
96,166,1.805241584777832,238,1.8297207355499268
97,116,1.8088552951812744,310,1.8328924179077148
98,496,1.8048036098480225,587,1.829981803894043
99,371,1.8037664890289307,748,1.8237667083740234
100,89,1.8058202266693115,121,1.8269760608673096
101,3,1.7993736267089844,81,1.8203458786010742
102,92,1.805420160293579,166,1.8257358074188232
103,20,1.8039577007293701,488,1.8288516998291016
104,110,1.8113927841186523,485,1.831289291381836
105,296,1.8079729080200195,473,1.8289177417755127
106,84,1.8062880039215088,268,1.8314058780670166
107,130,1.808955430984497,302,1.8331971168518066
108,11,1.8060328960418701,208,1.830463171005249
109,393,1.8100941181182861,622,1.8341166973114014
110,41,1.8044030666351318,90,1.8253564834594727
