index,T1_CPU,T1_Time,T2_CPU,T2_Time
0,80,1.8051199913024902,333,1.829409122467041
1,104,1.824791431427002,35,1.8047709465026855
2,153,1.8093845844268799,366,1.8293516635894775
3,19,1.8061811923980713,270,1.8312735557556152
4,329,1.8095793724060059,660,1.8339393138885498
5,543,1.8338279724121094,108,1.8088483810424805
6,299,1.8201584815979004,8,1.800154685974121
7,344,1.83451247215271,130,1.809579849243164
8,541,1.8225929737091064,180,1.8025925159454346
9,290,1.8300418853759766,137,1.8101036548614502
10,60,1.802518606185913,260,1.8222463130950928
11,122,1.8254683017730713,5,1.8008778095245361
12,40,1.8036906719207764,300,1.8250629901885986
13,154,1.8180241584777832,66,1.798205852508545
14,5,1.7995028495788574,21,1.8202788829803467
15,75,1.8041331768035889,474,1.8287467956542969
16,65,1.8063530921936035,205,1.8301241397857666
17,35,1.8066692352294922,288,1.8310906887054443
18,77,1.8190970420837402,28,1.7991058826446533
19,92,1.8031675815582275,227,1.8275530338287354
20,450,1.829557180404663,50,1.8046860694885254
21,34,1.8206305503845215,2,1.8010632991790771
22,457,1.8336787223815918,199,1.808471918106079
23,249,1.8286926746368408,57,1.8050811290740967
24,376,1.8322806358337402,181,1.8082785606384277
25,274,1.824690341949463,7,1.7998731136322021
26,203,1.828399896621704,82,1.8040075302124023
27,457,1.8299627304077148,184,1.808655023574829
28,249,1.8286478519439697,123,1.807990550994873
29,176,1.828794002532959,67,1.7987942695617676
30,169,1.8004002571105957,418,1.8206028938293457
31,108,1.8000929355621338,271,1.8298420906066895
32,304,1.8291211128234863,23,1.8052146434783936
33,389,1.8361833095550537,158,1.806136131286621
34,245,1.8247933387756348,20,1.8047575950622559
35,542,1.8343911170959473,199,1.810145616531372
36,185,1.8059258460998535,707,1.8304901123046875
37,63,1.8045918941497803,228,1.8286902904510498
38,48,1.7993993759155273,201,1.8291611671447754
39,157,1.8234007358551025,40,1.8034172058105469
40,156,1.7996630668640137,428,1.8196628093719482
41,71,1.8053011894226074,214,1.830245018005371
42,263,1.8297271728515625,69,1.805074691772461
43,489,1.833533763885498,205,1.8091464042663574
44,432,1.833561658859253,189,1.8090970516204834
45,163,1.8217897415161133,77,1.8015360832214355
46,97,1.8053431510925293,203,1.8293979167938232
47,77,1.8248915672302246,10,1.8047518730163574
48,248,1.8294193744659424,68,1.8053827285766602
49,126,1.8106820583343506,319,1.83066987991333
50,431,1.8301219940185547,49,1.8013477325439453
51,34,1.8025174140930176,68,1.8224899768829346
52,29,1.8008208274841309,246,1.8208284378051758
53,356,1.828207015991211,35,1.803420066833496
54,396,1.8285541534423828,20,1.8041400909423828
55,295,1.8283767700195312,20,1.80430269241333
56,275,1.835702896118164,128,1.8117423057556152
57,14,1.8057777881622314,79,1.826467514038086
58,186,1.8222663402557373,25,1.8021183013916016
59,208,1.809518814086914,459,1.829566478729248
60,111,1.8019342422485352,281,1.8319494724273682
61,316,1.8306007385253906,151,1.8101918697357178
62,69,1.8038995265960693,263,1.8259210586547852
63,169,1.8074543476104736,342,1.8279321193695068
64,110,1.8255643844604492,38,1.8036320209503174
65,321,1.8290083408355713,93,1.8064606189727783
66,127,1.827188491821289,62,1.80595064163208
67,57,1.805626630783081,141,1.825350284576416
68,33,1.7965078353881836,361,1.8265089988708496
69,326,1.8313426971435547,104,1.801419734954834
70,227,1.8223819732666016,44,1.8023884296417236
71,109,1.8103795051574707,386,1.8310251235961914
72,96,1.8260083198547363,15,1.804417371749878
73,291,1.8238005638122559,42,1.803572654724121
74,20,1.8036093711853027,72,1.8239648342132568
75,28,1.8051369190216064,122,1.8261308670043945
76,370,1.8252203464508057,34,1.7953176498413086
77,188,1.8253364562988281,53,1.7950894832611084
78,155,1.8288705348968506,31,1.7988510131835938
79,367,1.830014944076538,124,1.8091630935668945
80,412,1.8226017951965332,75,1.8026280403137207
81,147,1.823437213897705,71,1.7932770252227783
82,47,1.8059160709381104,126,1.8267533779144287
83,284,1.8315339088439941,138,1.8074252605438232
84,293,1.822495698928833,70,1.8024816513061523
85,366,1.8001253604888916,817,1.8300158977508545
86,48,1.799363136291504,504,1.8293795585632324
87,34,1.7982840538024902,327,1.8283565044403076
88,308,1.835448980331421,103,1.8092269897460938
89,392,1.822526216506958,51,1.80257248878479
90,23,1.802490472793579,79,1.8271763324737549
91,44,1.7995884418487549,356,1.8275816440582275
92,316,1.8216910362243652,88,1.8014016151428223
93,89,1.804243803024292,318,1.8295671939849854
94,263,1.829237699508667,80,1.7955079078674316
95,133,1.7993736267089844,307,1.829401969909668
96,238,1.8297293186187744,72,1.8055052757263184
97,116,1.809483289718628,310,1.8294172286987305
98,587,1.8284695148468018,91,1.7984304428100586
99,371,1.8092420101165771,748,1.8344171047210693
100,121,1.8249194622039795,32,1.8039746284484863
101,3,1.8011209964752197,81,1.822225570678711
102,166,1.8251781463623047,74,1.8050575256347656
103,20,1.80558180809021,488,1.830080270767212
104,110,1.7980237007141113,485,1.8278162479400635
105,473,1.8337972164154053,177,1.808964729309082
106,84,1.804598331451416,268,1.8295297622680664
107,130,1.802217960357666,302,1.8322603702545166
108,11,1.8059108257293701,208,1.8297154903411865
109,622,1.8335604667663574,229,1.8035264015197754
110,41,1.8004395961761475,90,1.8204216957092285
111,113,1.810586929321289,416,1.8311848640441895
112,250,1.8282544612884521,15,1.8033180236816406
113,255,1.833486557006836,108,1.8086111545562744
114,76,1.7968084812164307,186,1.8270831108093262
115,176,1.831207036972046,64,1.807119369506836
116,233,1.810581922531128,477,1.8307921886444092
117,235,1.828291893005371,16,1.7981643676757812
118,40,1.800957202911377,134,1.820936679840088
119,194,1.8111991882324219,431,1.8296456336975098
120,6,1.8025555610656738,108,1.8274192810058594
121,130,1.80800461769104,436,1.8288848400115967
122,85,1.805072546005249,233,1.829716444015503
123,384,1.8300752639770508,159,1.8098320960998535
124,65,1.8052546977996826,162,1.8252410888671875
125,242,1.80784273147583,491,1.8328886032104492
126,45,1.8053572177886963,226,1.8289783000946045
127,75,1.8030850887298584,309,1.8230719566345215
128,436,1.828310489654541,122,1.8075108528137207
129,30,1.8046348094940186,135,1.829240083694458
130,186,1.8089745044708252,556,1.828878402709961
131,62,1.8046061992645264,452,1.8293821811676025
132,414,1.8281054496765137,52,1.7980616092681885
133,320,1.834754467010498,129,1.8100674152374268
134,495,1.8282268047332764,123,1.8082377910614014
135,60,1.8034543991088867,469,1.827392339706421
136,353,1.8298296928405762,22,1.8059725761413574
137,39,1.8038976192474365,374,1.828721046447754
138,8,1.8023362159729004,116,1.8219866752624512
139,1,1.7977104187011719,59,1.817688226699829
140,66,1.8062071800231934,219,1.8312034606933594
141,365,1.8294503688812256,154,1.8097076416015625
142,182,1.8103842735290527,428,1.8303618431091309
143,3,1.8017802238464355,19,1.8224055767059326
144,45,1.8007993698120117,159,1.820540428161621
145,115,1.807774543762207,348,1.828718662261963
146,89,1.8064002990722656,197,1.830676555633545
147,51,1.8228271007537842,14,1.8028340339660645
148,117,1.8103106021881104,270,1.8312528133392334
149,204,1.828329086303711,70,1.8036167621612549
150,67,1.7994062900543213,398,1.8295903205871582
151,16,1.800614833831787,82,1.8204336166381836
152,94,1.8051488399505615,209,1.829021692276001
153,205,1.8289389610290527,75,1.8039906024932861
154,534,1.8310651779174805,216,1.8103044033050537
155,305,1.8256220817565918,6,1.800349473953247
156,15,1.8004217147827148,60,1.8205947875976562
157,43,1.8056674003601074,228,1.8297123908996582
158,340,1.8322114944458008,144,1.807685375213623
159,25,1.8010756969451904,320,1.8210554122924805
160,50,1.8252103328704834,15,1.8045732975006104
161,189,1.8299214839935303,63,1.7999122142791748
162,18,1.8053336143493652,48,1.826333999633789
163,148,1.8154034614562988,58,1.8023960590362549
164,333,1.8287763595581055,32,1.7987339496612549
165,517,1.8293561935424805,241,1.8093650341033936
166,200,1.824655294418335,98,1.8055238723754883
167,77,1.8061492443084717,401,1.8314776420593262
168,171,1.8045496940612793,442,1.8246824741363525
169,82,1.8054485321044922,221,1.8291652202606201
170,344,1.8282177448272705,107,1.8082165718078613
171,374,1.830303430557251,178,1.8006060123443604
172,2,1.800579309463501,16,1.8209924697875977
173,72,1.8029429912567139,166,1.823732852935791
174,102,1.8013620376586914,209,1.8213796615600586
175,383,1.8337016105651855,160,1.8086163997650146
176,241,1.80922532081604,646,1.8340253829956055
177,34,1.8216009140014648,4,1.8005688190460205
178,205,1.8298490047454834,36,1.8053698539733887
179,223,1.8300480842590332,70,1.80033540725708
180,151,1.808811902999878,506,1.830979585647583
181,307,1.827779769897461,10,1.803382396697998
182,94,1.8045101165771484,227,1.824495792388916
183,130,1.8037059307098389,323,1.8234739303588867
184,38,1.7989568710327148,183,1.8292737007141113
185,10,1.805504560470581,251,1.830190658569336
186,517,1.823718786239624,111,1.8035645484924316
187,107,1.8090324401855469,303,1.8288967609405518
188,160,1.823770523071289,63,1.8037841320037842
189,30,1.805346965789795,379,1.8253328800201416
190,244,1.8071088790893555,725,1.8268883228302002
191,18,1.8042678833007812,60,1.8249108791351318
192,52,1.804126262664795,145,1.824113130569458
