index,T1_CPU,T1_Time,T2_CPU,T2_Time
0,83,1.8100826740264893,310,1.839348316192627
1,119,1.820354700088501,46,1.8104469776153564
2,111,1.8095426559448242,305,1.8338770866394043
3,291,1.8086276054382324,584,1.8327085971832275
4,485,1.8324551582336426,107,1.8223271369934082
5,235,1.831296443939209,10,1.8188464641571045
6,320,1.833026647567749,126,1.8250665664672852
7,451,1.8386085033416748,134,1.8257858753204346
8,209,1.8294637203216553,99,1.8212096691131592
9,66,1.8042879104614258,216,1.8285400867462158
10,102,1.8291704654693604,22,1.8169746398925781
11,17,1.8044464588165283,250,1.833815574645996
12,161,1.8250856399536133,72,1.8167963027954102
13,12,1.804816722869873,42,1.8247599601745605
14,79,1.7991998195648193,428,1.8292951583862305
15,71,1.8061912059783936,205,1.8304846286773682
16,46,1.8025102615356445,273,1.8326425552368164
17,64,1.8188450336456299,8,1.8091742992401123
18,93,1.7982370853424072,222,1.8283088207244873
19,375,1.836470127105713,26,1.8208045959472656
20,61,1.817565679550171,19,1.817565679550171
21,414,1.83341383934021,183,1.825434684753418
22,208,1.8293018341064453,32,1.8213231563568115
23,346,1.834155797958374,168,1.8261785507202148
24,249,1.827183723449707,11,1.8168809413909912
25,203,1.830660343170166,86,1.8207318782806396
26,414,1.8291888236999512,171,1.8191890716552734
27,241,1.835118293762207,120,1.8262944221496582
28,146,1.825319766998291,73,1.8173418045043945
29,124,1.808884859085083,348,1.8332867622375488
30,107,1.8109338283538818,259,1.8353972434997559
31,286,1.8334052562713623,37,1.8203487396240234
32,357,1.8331232070922852,149,1.8248200416564941
33,486,1.832998275756836,184,1.824765920639038
34,171,1.8087050914764404,622,1.8380300998687744
35,35,1.8041048049926758,189,1.82920503616333
36,23,1.7965569496154785,134,1.8262429237365723
37,98,1.8242850303649902,18,1.8163063526153564
38,147,1.8094279766082764,357,1.833446741104126
39,76,1.804222583770752,211,1.8287420272827148
40,219,1.832949161529541,42,1.8209409713745117
41,440,1.8266918659210205,188,1.8164269924163818
42,393,1.8292863368988037,175,1.8192474842071533
43,55,1.7996346950531006,136,1.8197212219238281
44,169,1.8255970478057861,73,1.8168628215789795
45,46,1.8216419219970703,8,1.817385196685791
46,239,1.8289604187011719,74,1.8199849128723145
47,122,1.80743408203125,266,1.8246209621429443
48,359,1.8324031829833984,25,1.8199598789215088
49,45,1.8025977611541748,90,1.8266584873199463
50,8,1.7927310466766357,205,1.82281494140625
51,330,1.831547737121582,47,1.819579839706421
52,262,1.8340106010437012,124,1.8261268138885498
53,4,1.8015966415405273,75,1.825930118560791
54,121,1.826587438583374,5,1.8162884712219238
55,190,1.8113985061645508,416,1.8357551097869873
56,76,1.8037371635437012,234,1.8237276077270508
57,120,1.8016927242279053,262,1.831373691558838
58,74,1.8051302433013916,252,1.8294029235839844
59,157,1.8094182014465332,318,1.8336217403411865
60,43,1.8049371242523193,91,1.8263235092163086
61,267,1.8292756080627441,62,1.8215713500976562
62,139,1.8154313564300537,69,1.8154313564300537
63,117,1.82155442237854,54,1.8114900588989258
64,44,1.80543851852417,334,1.8334729671478271
65,271,1.8281493186950684,71,1.820260763168335
66,222,1.8288683891296387,54,1.8206303119659424
67,107,1.808534860610962,354,1.8330442905426025
68,113,1.8271937370300293,30,1.8189904689788818
69,276,1.8350701332092285,53,1.822526454925537
70,34,1.7976300716400146,94,1.8273019790649414
71,6,1.7998955249786377,67,1.8198440074920654
72,309,1.833380937576294,13,1.8210396766662598
73,190,1.830308437347412,62,1.821894645690918
74,129,1.8299999237060547,10,1.8180670738220215
75,306,1.8340814113616943,88,1.8215878009796143
76,377,1.832890272140503,80,1.8213865756988525
77,156,1.8248014450073242,77,1.8162994384765625
78,105,1.8153777122497559,50,1.8153777122497559
79,271,1.8343966007232666,133,1.8270914554595947
80,277,1.8247315883636475,76,1.8147094249725342
81,322,1.8088021278381348,715,1.8337774276733398
82,36,1.826164722442627,18,1.8179612159729004
83,56,1.8028624057769775,453,1.8360357284545898
84,45,1.8037853240966797,273,1.8332314491271973
85,256,1.8288428783416748,70,1.8202972412109375
86,359,1.8324637413024902,60,1.8200128078460693
87,66,1.8240973949432373,31,1.8169736862182617
88,54,1.8042035102844238,330,1.833184003829956
89,264,1.828627586364746,91,1.8207142353057861
90,57,1.8057475090026855,264,1.83445405960083
91,219,1.8301901817321777,51,1.821807622909546
92,128,1.8006293773651123,290,1.8308546543121338
93,232,1.831056833267212,78,1.8230574131011963
94,113,1.808685064315796,291,1.8334805965423584
95,489,1.8379106521606445,60,1.8216288089752197
96,326,1.8088924884796143,657,1.833695411682129
97,134,1.829542636871338,44,1.817336082458496
98,19,1.8051457405090332,100,1.8294615745544434
99,172,1.825045108795166,80,1.8168513774871826
100,109,1.8078606128692627,438,1.8371498584747314
101,427,1.8334681987762451,165,1.8251335620880127
102,52,1.820000171661377,17,1.8168165683746338
103,53,1.805347204208374,189,1.8297579288482666
104,92,1.804717779159546,252,1.8292806148529053
105,7,1.796875238418579,188,1.8269283771514893
106,552,1.8305301666259766,209,1.8204479217529297
107,17,1.7992825508117676,41,1.8192598819732666
108,111,1.8089022636413574,380,1.8288745880126953
109,51,1.8206288814544678,17,1.8105905055999756
110,216,1.8289837837219238,4,1.8167698383331299
111,245,1.8320624828338623,107,1.8240842819213867
112,47,1.8047997951507568,122,1.8250658512115479
113,113,1.8245964050292969,37,1.816547155380249
114,177,1.8101584911346436,397,1.8351044654846191
115,196,1.834808588027954,31,1.8146014213562012
116,50,1.80057954788208,111,1.8205413818359375
